Source,Destination,Packet_Count,Duration
fe80::8006:63ff:fe80:6319,ff02::2,2,36.888586
fe80::e4:4ff:feba:8f52,ff02::2,2,36.88857
fe80::6037:78ff:fe65:29cc,ff02::2,2,36.888411
fe80::4f2:12ff:fe7e:8b5d,ff02::2,2,30.700358
fe80::30e9:17ff:fe60:4e32,ff02::2,2,32.249665
fe80::2864:3aff:feb0:d656,ff02::2,2,36.984006
fe80::c837:dff:fe76:446a,ff02::2,2,36.983985
fe80::50a1:7aff:fe35:919e,ff02::2,2,32.786201
fe80::eccc:f2ff:fe41:76a4,ff02::2,2,32.786188
fe80::78bb:5cff:fe95:5156,ff02::2,2,36.983959
fe80::a090:17ff:fe01:1697,ff02::2,2,36.983948
fe80::20e7:d1ff:fe9b:6141,ff02::2,2,36.983936
fe80::50d7:98ff:fe22:68b5,ff02::2,2,27.620461
fe80::b409:eeff:fe54:46b3,ff02::2,2,36.966381
fe80::4c15:7dff:fe11:31fa,ff02::2,2,32.239486
fe80::640c:35ff:fe18:79f1,ff02::2,2,31.717652
fe80::3000:84ff:fe85:1ac2,ff02::2,2,32.239468
fe80::d441:f3ff:fe58:e556,ff02::2,2,28.660207
fe80::180d:80ff:fe43:b5c,ff02::2,2,28.15711
fe80::a003:6aff:fe18:6980,ff02::2,2,29.181146
fe80::58ea:69ff:fe3d:f39a,ff02::2,2,31.239
fe80::145c:9cff:fe12:2c31,ff02::2,2,36.373477
fe80::509b:edff:feaa:93e4,ff02::2,2,36.373465
fe80::3485:61ff:fe9f:843a,ff02::2,2,40.55303
fe80::9486:4cff:fe54:df22,ff02::2,2,30.699643
fe80::9006:79ff:fe10:c3bd,ff02::2,2,31.224125
fe80::e80c:e1ff:fe51:ed03,ff02::2,2,30.69961
fe80::9849:c7ff:fede:7268,ff02::2,2,36.472987
fe80::883e:2aff:feae:f295,ff02::2,2,30.1896
fe80::e032:42ff:fe92:c388,ff02::2,2,30.189559
fe80::bc2f:91ff:fe0b:146f,ff02::2,2,31.738915
2001:db8::2,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::2,14,9.191393
2001:db8::3,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::3,14,9.259407
2001:db8::5,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::5,14,9.231027
2001:db8::4,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::4,14,9.162932
2001:db8::6,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::6,14,9.233318
2001:db8::9,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::9,14,9.21075
2001:db8::7,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::7,14,9.210975
2001:db8::8,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::8,14,9.20056
2001:db8::11,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::11,14,9.129841
2001:db8::12,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::12,14,9.172937
2001:db8::10,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::10,14,9.199813
2001:db8::13,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::13,14,9.197842
2001:db8::14,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::14,14,9.1958
2001:db8::15,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::15,11,9.12988
2001:db8::16,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::16,11,9.129965
2001:db8::2,2001:db8::1,13,9.130636
2001:db8::18,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::18,11,9.129666
2001:db8::17,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::17,11,9.199141
2001:db8::19,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::19,10,8.040822
2001:db8::20,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::20,11,9.052488
2001:db8::21,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::21,10,8.039144
2001:db8::22,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::22,11,9.135773
2001:db8::23,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::23,10,8.038874
fe80::1cd1:1cff:fe13:1274,ff02::2,2,28.531682
fe80::3451:8fff:fec1:3f88,ff02::2,2,29.032318
fe80::e488:b4ff:fe34:d8b6,ff02::2,2,31.60668
fe80::2b:9aff:fec8:8d12,ff02::2,2,30.064969
fe80::ecc2:e6ff:fe51:2ab9,ff02::2,2,35.724104
fe80::eccf:f8ff:fe8d:bddf,ff02::2,2,35.724069
fe80::5cac:e9ff:feec:1f0f,ff02::2,2,39.903635
fe80::30a4:51ff:fe6d:753a,ff02::2,2,28.531724
fe80::501a:b5ff:fe51:850d,ff02::2,2,29.045359
fe80::387c:d1ff:feda:cf1a,ff02::2,2,30.064814
fe80::7050:4bff:fe21:c1bf,ff02::2,2,31.640789
fe80::3403:8dff:fefc:fd59,ff02::2,2,31.640774
fe80::fc7d:5cff:fe66:b047,ff02::2,2,31.640758
fe80::603c:39ff:fe31:a91b,ff02::2,2,35.838455
fe80::3871:e7ff:fe6c:c5ea,ff02::2,2,35.838441
fe80::c811:59ff:fee0:da6c,ff02::2,2,28.545641
fe80::4a2:f8ff:fe8c:3b7c,ff02::2,2,28.021514
fe80::3034:beff:fe09:e648,ff02::2,2,35.838144
fe80::c820:faff:fe04:a0e3,ff02::2,2,31.640641
fe80::1c47:98ff:fe96:8460,ff02::2,2,35.838121
fe80::e8e1:3bff:feaa:a837,ff02::2,2,35.838106
2001:db8::24,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::24,10,8.03911
2001:db8::25,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::25,10,8.039262
2001:db8::27,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::27,11,8.913184
2001:db8::26,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::26,10,7.899723
2001:db8::28,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::28,10,7.900216
2001:db8::29,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::29,10,7.898546
2001:db8::30,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::30,10,7.899694
2001:db8::31,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::31,10,7.898363
2001:db8::3,2001:db8::1,13,8.924803
2001:db8::32,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::32,10,7.899547
2001:db8::33,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::33,10,7.899356
2001:db8::35,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::35,10,7.958566
2001:db8::36,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::36,10,7.958735
2001:db8::34,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::34,10,7.958683
2001:db8::39,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::39,10,7.958705
2001:db8::38,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::38,10,7.958956
2001:db8::37,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::37,10,7.958631
2001:db8::40,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::40,10,7.958805
2001:db8::41,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::41,10,7.945452
2001:db8::42,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::42,10,7.958474
2001:db8::43,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::43,10,7.95902
2001:db8::45,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::45,10,7.958798
2001:db8::44,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::44,10,7.959027
2001:db8::47,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::47,10,7.898175
2001:db8::46,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::46,10,7.958822
2001:db8::48,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::48,10,7.959053
2001:db8::49,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::49,10,7.958573
2001:db8::50,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::50,10,7.958758
2001:db8::51,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::51,10,7.958343
2001:db8::54,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::54,10,7.899752
2001:db8::52,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::52,11,8.982727
2001:db8::53,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::53,11,8.982734
2001:db8::55,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::55,11,8.983559
2001:db8::56,ff02::1:ff00:1,1,0
